Timestamp,Skatepark,Sport,Age group,Gender,Weather,Favorite environment,Level
28/05/2020 19:32:10,Stapelbäddsparken,Skateboard,6-12,Male,Sunny,Pool,Beginner
28/05/2020 19:43:07,Stapelbäddsparken,BMX,13-19,Male,Sunny,None,Intermediate
28/05/2020 19:52:25,Stapelbäddsparken,Skateboard,13-19,Female,Sunny,None,Intermediate
28/05/2020 19:52:48,Stapelbäddsparken,Skateboard,6-12,Male,Sunny,None,Beginner
29/05/2020 08:11:46,Stapelbäddsparken,Skateboard,30-39,Female,Sunny,None,Beginner
29/05/2020 18:30:33,Folkets Park,Skateboard,6-12,Female,Sunny,Street/Rails,Beginner
29/05/2020 19:06:11,Stapelbäddsparken,Skateboard,6-12,Male,Sunny,Pool,Beginner
29/05/2020 19:06:25,Stapelbäddsparken,Skateboard,20-29,Male,Sunny,Pool,Advanced
29/05/2020 19:06:47,Stapelbäddsparken,Skateboard,0-5,Female,Sunny,None,Beginner
29/05/2020 19:20:25,Stapelbäddsparken,Skateboard,6-12,Male,Sunny,None,Beginner
29/05/2020 19:22:45,Stapelbäddsparken,Skateboard,13-19,Male,Cloudy,None,Beginner
29/05/2020 19:23:46,Stapelbäddsparken,Kickbike,6-12,Male,Cloudy,None,Beginner
29/05/2020 21:22:33,Stapelbäddsparken,Skateboard,20-29,Male,Sunny,Street/Rails,Advanced
30/05/2020 07:49:43,Sibbarp Skatepark,Skateboard,40-49,Male,Sunny,Freeride,Beginner
30/05/2020 13:21:10,Stapelbäddsparken,Skateboard,6-12,Male,Sunny,Pool,Beginner
30/05/2020 13:21:36,Stapelbäddsparken,Kickbike,6-12,Male,Sunny,Pool,Intermediate
30/05/2020 19:39:08,Stapelbäddsparken,Skateboard,20-29,Male,Sunny,Street/Rails,Intermediate
30/05/2020 21:51:35,Stapelbäddsparken,Skateboard,6-12,Male,Sunny,Street/Rails,Intermediate
31/05/2020 13:53:16,Stapelbäddsparken,Skateboard,6-12,Female,Sunny,None,Beginner
31/05/2020 13:53:30,Stapelbäddsparken,Skateboard,6-12,Male,Sunny,Pool,Beginner
31/05/2020 13:53:47,Stapelbäddsparken,Skateboard,30-39,Female,Sunny,Freeride,Beginner
31/05/2020 13:54:26,Stapelbäddsparken,Skateboard,6-12,Male,Sunny,Freeride,Beginner
31/05/2020 14:53:55,Oxie Skatepark,Skateboard,6-12,Male,Sunny,Freeride,Intermediate
31/05/2020 14:54:23,Oxie Skatepark,Skateboard,6-12,Male,Sunny,Freeride,Intermediate
31/05/2020 14:57:49,Oxie Skatepark,Skateboard,13-19,Male,Sunny,Street/Rails,Intermediate
31/05/2020 14:58:06,Oxie Skatepark,Skateboard,13-19,Male,Sunny,Ramp,Beginner
31/05/2020 14:59:04,Oxie Skatepark,BMX,13-19,Female,Sunny,Street/Rails,Beginner
31/05/2020 15:28:45,Kroksbäck Skatepark,Skateboard,6-12,Male,Sunny,None,Beginner
31/05/2020 15:29:05,Kroksbäck Skatepark,Kickbike,6-12,Male,Sunny,Pool,Advanced
31/05/2020 15:29:31,Kroksbäck Skatepark,Kickbike,6-12,Female,Sunny,Freeride,Beginner
31/05/2020 15:30:49,Kroksbäck Skatepark,Skateboard,6-12,Female,Sunny,Freeride,Beginner
31/05/2020 15:31:06,Kroksbäck Skatepark,BMX,6-12,Male,Sunny,Freeride,Intermediate
31/05/2020 15:32:13,Kroksbäck Skatepark,Skateboard,40-49,Male,Sunny,Pool,Beginner
31/05/2020 15:37:08,Kroksbäck Skatepark,Skateboard,13-19,Male,Sunny,Street/Rails,Beginner
31/05/2020 15:37:21,Stapelbäddsparken,Skateboard,13-19,Female,Cloudy,Street/Rails,Beginner
31/05/2020 15:38:34,Kroksbäck Skatepark,Skateboard,13-19,Male,Sunny,Pool,Intermediate
31/05/2020 15:42:40,Kroksbäck Skatepark,Kickbike,6-12,Male,Sunny,Pool,Advanced
31/05/2020 15:43:55,Kroksbäck Skatepark,Inlines/roller skates,6-12,Female,Sunny,Freeride,Intermediate
31/05/2020 15:45:43,Kroksbäck Skatepark,Skateboard,13-19,Male,Sunny,Pool,Intermediate
31/05/2020 15:48:33,Oxie Skatepark,Skateboard,30-39,Male,Sunny,Pool,Beginner
31/05/2020 15:48:52,Stapelbäddsparken,Skateboard,40-49,Male,Sunny,Pool,Intermediate
31/05/2020 15:49:38,Oxie Skatepark,Skateboard,6-12,Male,Sunny,Freeride,Beginner
31/05/2020 15:51:10,Kroksbäck Skatepark,Kickbike,13-19,Male,Sunny,Freeride,Intermediate
31/05/2020 15:51:30,Kroksbäck Skatepark,Skateboard,13-19,Male,Sunny,Street/Rails,Intermediate
31/05/2020 16:20:26,Sibbarp Skatepark,Skateboard,13-19,Male,Sunny,Street/Rails,Intermediate
31/05/2020 16:22:37,Sibbarp Skatepark,Skateboard,13-19,Male,Sunny,Ramp,Intermediate
31/05/2020 16:22:45,Sibbarp Skatepark,Skateboard,13-19,Male,Sunny,Street/Rails,Beginner
31/05/2020 16:23:01,Sibbarp Skatepark,Skateboard,13-19,Male,Sunny,Street/Rails,Intermediate
31/05/2020 16:24:48,Sibbarp Skatepark,Inlines/roller skates,6-12,Male,Sunny,Street/Rails,Intermediate
31/05/2020 16:27:03,Sibbarp Skatepark,Skateboard,13-19,Male,Sunny,Street/Rails,Advanced
31/05/2020 16:27:17,Sibbarp Skatepark,Skateboard,13-19,Male,Sunny,Street/Rails,Advanced
31/05/2020 16:27:38,Sibbarp Skatepark,Skateboard,6-12,Male,Sunny,Freeride,Intermediate
31/05/2020 16:27:57,Sibbarp Skatepark,Skateboard,6-12,Male,Sunny,Freeride,Beginner
31/05/2020 16:28:12,Sibbarp Skatepark,Kickbike,6-12,Male,Sunny,None,Beginner
31/05/2020 16:28:38,Sibbarp Skatepark,Kickbike,6-12,Male,Sunny,None,Beginner
31/05/2020 16:29:55,Sibbarp Skatepark,Kickbike,6-12,Male,Sunny,None,Beginner
31/05/2020 16:30:40,Sibbarp Skatepark,Skateboard,6-12,Male,Sunny,Street/Rails,Intermediate
31/05/2020 16:33:05,Sibbarp Skatepark,Skateboard,6-12,Female,Sunny,None,Beginner
31/05/2020 16:33:16,Sibbarp Skatepark,Kickbike,6-12,Female,Sunny,None,Beginner
31/05/2020 16:33:31,Stapelbäddsparken,Skateboard,13-19,Female,Sunny,Street/Rails,Intermediate
31/05/2020 20:31:43,Folkets Park,Skateboard,40-49,Male,Sunny,Pool,Intermediate
31/05/2020 22:28:34,Sibbarp Skatepark,Inlines/roller skates,6-12,Male,Sunny,Ramp,Advanced
01/06/2020 08:33:13,Stapelbäddsparken,Skateboard,30-39,Female,Sunny,Freeride,Beginner
01/06/2020 08:33:29,Stapelbäddsparken,Skateboard,30-39,Female,Sunny,Pool,Beginner
01/06/2020 14:12:50,Stapelbäddsparken,Skateboard,20-29,Male,Sunny,Pool,Intermediate
01/06/2020 15:05:47,Stapelbäddsparken,Skateboard,30-39,Male,Cloudy,Pool,Beginner
01/06/2020 21:33:12,Stapelbäddsparken,Skateboard,30-39,Male,Sunny,Street/Rails,Advanced
02/06/2020 10:16:10,Sibbarp Skatepark,Inlines/roller skates,13-19,Male,Sunny,Ramp,Advanced
03/06/2020 08:26:43,Stapelbäddsparken,Skateboard,30-39,Female,Sunny,Pool,Intermediate
03/06/2020 08:26:55,Stapelbäddsparken,Skateboard,6-12,Male,Sunny,Pool,Intermediate
03/06/2020 08:27:09,Stapelbäddsparken,Kickbike,6-12,Male,Sunny,None,Beginner
03/06/2020 08:27:23,Stapelbäddsparken,Skateboard,30-39,Female,Sunny,Freeride,Beginner
03/06/2020 09:30:52,Stapelbäddsparken,Skateboard,30-39,Female,Sunny,Freeride,Beginner
03/06/2020 14:53:50,Folkets Park,Skateboard,13-19,Male,Sunny,Pool,Intermediate
03/06/2020 14:54:30,Folkets Park,Skateboard,20-29,Other,Sunny,Ramp,Advanced
03/06/2020 14:55:06,Folkets Park,Skateboard,20-29,Other,Sunny,Ramp,Advanced
03/06/2020 15:09:03,Folkets Park,Skateboard,20-29,Male,Sunny,Pool,Intermediate
03/06/2020 15:22:24,Folkets Park,Skateboard,20-29,Male,Sunny,Freeride,Intermediate
03/06/2020 15:27:34,Folkets Park,Skateboard,13-19,Male,Sunny,Ramp,Advanced
03/06/2020 15:32:49,Stapelbäddsparken,Skateboard,13-19,Male,Sunny,Street/Rails,Advanced
03/06/2020 15:33:18,Stapelbäddsparken,Skateboard,13-19,Male,Sunny,Street/Rails,Intermediate
03/06/2020 15:38:29,Folkets Park,Skateboard,0-5,Male,Sunny,Freeride,Beginner
03/06/2020 20:49:08,Stapelbäddsparken,Skateboard,6-12,Male,Sunny,Pool,Beginner
04/06/2020 04:55:51,Sibbarp Skatepark,Skateboard,13-19,Male,Sunny,Ramp,Intermediate
04/06/2020 09:16:45,Stapelbäddsparken,Skateboard,30-39,Female,Sunny,Freeride,Beginner
04/06/2020 09:17:00,Stapelbäddsparken,Skateboard,6-12,Male,Sunny,Pool,Intermediate
04/06/2020 19:01:55,Stapelbäddsparken,Skateboard,6-12,Male,Cloudy,Pool,Intermediate
04/06/2020 19:02:09,Stapelbäddsparken,Skateboard,6-12,Male,Cloudy,Pool,Advanced